nome_escola
"Colégio Estadual Zilda Arns Neumann"
"Colégio Estadual Rocha Pombo"
"Juventude De Santo Antonio, C E-Ef M"
"Colégio Estadual Djalma Marinho"
"Joao Xxiii, C E-E F M"
"Macedo Soares, C E-Ef M"
"Miguel Franco Filho, C E-Ef M"
"Colégio Estadual Padre Arnaldo Jansen"
"Colégio Estadual Cívico-Militar Guimarães Rosa"
"Colégio Estadual Cívico Militar Senador Teotonio Vilela"
"Escola Estadual Professor Darcy José Costa"
"Colégio Estadual Dr Osvaldo Cruz-Ensino de 1º e 2º Graus"
"Colégio Estadual Marechal Rondon - Ensino Fundamental, Médio e Cursos Técnicos"
"Unidade Polo, C E-Ef M"
"Colégio Estadual Cívico Militar Rui Barbosa E E E Fund"
"Colégio Estadual Olavo Bilac"
"Cataratas, C E-Ef M"
"Colégio Estadual Brasmadeira"
"Colégio Estadual Julia Wanderley"
"Colégio Estadual Cívico-Militar Olivo Fracaro - Ensino Fundamental e Medio"
"Santos Dumont, C E-Ef M"
"Colégio Estadual Doutor João Ferreira Neves"
"Colégio Estadual Cívico-Militar Lindoeste-EFM"
"Santa Tereza Do Oeste, C E-Ef M"
"Carlos A Camargo, C E-Ef M"
"Colégio Estadual Marechal Humberto de Alencar Castelo Branco - EFM"
"José Ângelo Baggio Orso, C E-Ef M"
"Colégio Estadual Bairro 14 de Novembro"
"Colégio Estadual Amâncio Moro"
"Colégio Estadual D.Bosco"
"Primo Manfrinato, C E-Ef M"
"Castro Alves, C E-Em"
"Escola Estadual Professor Leo Kohler"
"Colégio Cívico Militar Prof. Mailon Medeiros"
"Andre Seugling, C E-Ef M Profis"
"CEEFM Monteiro Lobato"
"Adelia A Lopes, E E Profa-Ef"
"Colégio Estadual Cívico-Militar João XXIII"
"Colégio Estadual João Turin"
"Paulo Mozart Machado, C E Prof-Ef M"
"Nobrega Da Cunha, C E-Ef M"
"Escola Estadual Cívico Militar Professor Antônio Bitonti"
"Arlindo Carvalho De Amorim, C E-Ef M"
"Beatriz Faria Ansay, C E-Ef M"
"Colégio Estadual Cívico-Militar Marechal Cândido Rondon"
"Colégio Estadual Cívico-Militar Ermelino de Leão"
"Etelvina C Ribas, C E Profa-Ef M"
"Colégio Estadual Cívico-Militar Getúlio Vargas"
"Escola Estadual Gottlieb Müeller"
"Colégio Estadual Cívico-militar João Turin"
"Colégio Estadual Luiz Carlos Paula e Souza"
"Colégio Cívico Militar Manoel A Guimaraes, C E Sen-Ef M"
"Colégio Estadual Professor Olavo Del Claro"
"Colegio Estadual Cívico Militar Republica Oriental Do Uruguai"
"Sebastiao Saporski, C E-Ef M"
"Segismundo Falarz, C E C-M-Ef M"
"Colégio Cívico Militar Senhorinha de Moraes Sarmento"
"Yvone Pimentel, C E-Ef M"
"Colégio Estadual Cívico-Militar Cruzeiro do Sul"
"Guido Arzua, C E Prof-Ef M"
"Colégio Estadual Cívico Militar Jayme Canet"
"Joao Loyola, C E Prof-Ef M"
"Joao Paulo I, C E Papa-Ef M"
"Colégio Estadual Cívico-Militar Padre João Wislinski"
"Julio Mesquita, C E Prof-Ef M Profis"
"Lamenha Lins, C E Pres-Em Profis"
"Colégio Estadual Prof° Luiza Ross"
"Colégio Estadual Milton Carneiro"
"Colégio Estadual Cívico-Militar Pinheiro do Paraná"
"Colégio Estadual Cívico Militar Santa Felicidade"
"Santo Antônio"
"Colégio Estadual Cívico Militar Vinícius de Moraes"
"Jorge De Lima, E E-Ef"
"Colégio Estadual Cívico Militar Leonardo da Vinci - Ensino Fundamental, Médio e Profissional"
"Carmelita S Dias, C E Profa-Ef M"
"Colégio Estadual Presidente Castelo Branco"
"Colégio Estadual Pres. Costa e Silva"
"Colégio Estadual Cívico-Militar Tancredo de Almeida Neves"
"Colégio Estadual Tarquínio Santos"
"Colégio Estadual Cívico Militar Ipê Roxo"
"Colégio Estadual Sol de Maio"
"Colégio Estadual Tancredo Neves"
"Colégio Cívico-Militar Naira Fellini"
"Colégio Estadual Cívico Militar Angelo Antonio Benedet"
"Colégio Estadual Nestor Victor dos Santos"
"Colégio Estadual Carlos Drummond de Andrade"
"Colegio Estadual Do Campo Presidente Kennedy"
"Colégio Estadual Santa Rita"
"Colégio Estadual Marechal Artur da Costa e Silva"
"Colégio Estadual Cívico-Militar Candido Portinari"
"Vicente De Carli, C E Prof-Ef M"
"Colégio Estadual Beatriz Biavatti"
"Escola Estadual Dom Carlos Eduardo"
"Manoel Ribas, E E Interventor-Ef"
"Colégio João Zacco"
"Colégio Cívico-Militar Vila Guaira, C E-Ef M"
"Colégio Estadual Cívico Militar Olavo Bilac"
"Escola Ribeiro de Campos, E E C-M-Ef"
"COLÉGIO ESTADUAL VEREADOR HEITOR ROCHA KRAMER - EFM."
"Mahatma Gandhi, C E-Ef M"
"Colégio Estadual Manoel Ribas"
"Colégio Estadual Cívico-Militar Santo Antônio"
"COLÉGIO ESTADUAL ENGENHEIRO MICHEL GASTON PROSPER AUGUSTA REYDAMS"
"Colégio Estadual Edite Cordeiro Marques"
"Colégio Estadual Professora Leni Marlene Jacob"
"Colégio Estadual Parigot de Souza"
"Caxias, C E Dq-Ef M Profis"
"Joao De M Pessoa, C E-Ef M"
"Colégio Estadual Cívico Militar Nicolau Copérnico - EF M"
"Colégio Estadual Cívico Militar Barão de Capanema - Ensino Fundamental e Médio"
"Colégio Estadual Cívico Militar Profª Maria Ignácia"
"Colégio Estadual Dr Afonso Alves de Camargo"
"Colégio Estadual Cívico-Militar Anita Garibaldi"
"Colégio Estadual Nereu Ramos"
"Vicente Machado, C E C-Ef M"
"Colégio Estadual Cívico Militar Antônio Diniz Pereira"
"Jose De Mattos Leao, C E-Ef M"
"Colégio Estadual Dr. Generoso Marques"
"Hercília de Paula e Silva, CECM Profª - EFM e Profissional"
"Colégio Estadual Cívico-Militar José Pavan - EFM"
"Colégio Estadual Cívico Militar Doutor João da Rocha Chueiri"
"Colégio Estadual Cívico Militar Ruth Martinez Correa"
"Colégio Estadual Cívico-Militar Edith de Souza Prado de Oliveira"
"Colégio Cívico-militar Moralina Eleutério"
"Escola Estadual Stella Maris"
"Colégio Estadual Dona Carolina Lupion"
"Colégio Estadual Cívico Militar Anésio de Almeida Leite"
"Antonio Raminelli, C E C M -E F M P"
"Colégio Estadual Cívico Militar Érico Veríssimo - Ensino fundamental e médio"
"11 De Outubro, C E-Ef M"
"Basilio De Lucca, C E-Ef M"
"Ulysses Guimaraes, E E-Ef"
"Colégio Estadual Cívico-Militar Professora Adelia Dionisia Barbosa"
"Josemaria Escriva, E E Mons-Ef"
"Fernando De B Pinto, CECM Dr-EfEm"
"Tsuru Oguido, C E C-M - Ef M"
"Vani Ruiz Viessi"
"Colégio Estadual Cívico Militar Vista Bela"
"Francisco Villanueva,C E Prof-E F M P"
"Colégio Estadual Presidente Kennedy"
"Jose Alexandre Chiarelli, Ce Prof-Ef M"
"Colégio Estadual Cívico-Militar Monteiro Lobato"
"Escola Estadual Anastácio Cerezine"
"Lauro G Da V Pessoa, E E Prof-Ef"
"Colégio Estadual Newton Guimarães"
"Colégio Estadual Cívico-Militar Barão do Rio Branco"
"João Rodrigues Da Silva, C E Prof-Ef M"
"Andrea Nuzzi, C E Maestro-Ef M"
"Colégio Estadual Attílio Codato - Ensino Fundamental e Médio"
"Colégio Civíco-Militar Estadual Professora Helena Kolody"
"Manuel Bandeira, C E-Ef Em"
"Colégio Estadual Carlos de Almeida"
"Escola Estadual Professora Célia Moraes Oliveira"
"Colégio Estadual Professor Doutor Heber Soares Vargas"
"Hugo Simas, C E-Ef M"
"Colégio Estadual Humberto P Coutinho"
"Colégio Estadual Margarida de Barros Lisboa"
"Nilo Pecanha, C E-Ef M"
"R. Rudolf Keilhold, 173"
"Colégio Estadual Do Patrimônio Regina"
"Colegio Estadual Profº. Thiago Terra"
"Colégio Estadual Pe Wistremundo R. P. Garcia"
"Colégio Estadual Dr. Lauro Portugal Tavares"
"Colégio Estadual Serafim França"
"Colégio Estadual Cecília Meireles"
"Colégio Estadual São Vicente Pallotti"
"Colégio estadual Pedro Viriato Parigot de Souza"
"Colégio Estadual Alberto J. Byington Jr."
"Colégio Estadual Duque de Caxias cívico-militar"
"Colégio Estadual Ipiranga"
"Colégio Estadual Tomaz Edison de Andrade Vieira"
"Colégio Estadual Vinícius de Moraes"
"Colégio Estadual Vercindes Gerotto dos Reis"
"Colégio Estadual Cora Coralina"
"Colégio Estadual do Jardim Independência"
"Escola Estadual Cecília Meireles"
"Escola Estadual Pres. Arthur da Costa e Silva"
"Escola Estadual Cívico-Militar F. J. Perioto – Ensino Fundamental"
"Manoel F Almeida, E E Dr-Ef"
"Colégio Estadual Presidente Afonso Camargo"
"Colégio Estadual Cívico-Militar Vale do Tigre"
"Colégio Estadual Alberico M da Silva"
"Colégio Estadual Cívico Militar Santos Dumont"
"Moyses Lupion, C E-Ef M"
"29 De Abril, C E-Ef M"
"Escola Estadual Professora Abigail Dos Santos Correa"
"Colégio Estadual Cívico Militar Dídio Augusto de Camargo Viana"
"Escola Estadual Cívico Militar Faria Sobrinho"
"Colégio Estadual Cívico-Militar Helena Viana Sundin, Ensino Fundamental e Ensino Médio"
"Colegio Estadual Hélio Antônio De Souza"
"Colégio Estadual Sertãozinho"
"Colégio Estadual Cívico Militar Flauzina Dias Viegas"
"Colégio Estadual Leonel Franca"
"Colégio Estadual Sílvio Vidal"
"Escola Estadual Agostinho Stefanello"
"Colégio Estadual Santo Inácio de Loyola"
"Colégio Estadual Cívico-Militar l Nova Visão"
"Colégio Estadual Pres. Castelo Branco"
"Tancredo Neves, C E-Ef M"
"Sebastiao Parana, C E-Ef M"
"Colégio Estadual Cívico Militar Monsenhor Eduardo"
"Carmela Bortot, E E-Ef"
"Castro Alves, C E-Ef M"
"Colégio Estadual Rui Barbosa"
"Escola Estadual Irmão Isidoro Dumont - EF"
"Colégio Estadual São João Bosco - EFM"
"Colégio Estadual João C. da Costa"
"Colégio Estadual Cívico Militar Dom Pedro I"
"Colégio Estadual Cívico Militar Eurico Batista Rosas"
"Colégio Estadual Cívico-Militar Joana Torres Pereira"
"Colégio Estadual Prof. Nicolau Hampf"
"Colégio Estadual Cívico-Militar Alcides Munhoz"
"Colégio Estadual Cívico-Militar São Judas Tadeu"
"Colégio Estadual Cívico-Militar Prof• Leandro Manoel da Costa"
"Colégio Estadual Cívico-Militar General Antônio Sampaio"
"Colégio Estadual Cívico-Militar Professor Colares"
"Colégio Estadual Cívico-Militar José Elias da Rocha"
"Colégio Estadual Cívico-Militar Frei Doroteu de Padua"
"Colégio Estadual Cívico-Militar Coronel Amazonas"
"Colégio Estadual Cívico Militar General Osório"
"Colégio cívico militar do Paraná Becker e Silva"
"Colégio Estadual Cívico-Militar Padre Carlos Zelesny"
"Colégio Estadual Cívico Militar Prof. Edison Pietrobelli"
"Colégio Cívico-Militar Dr. Epaminondas Novaes Ribas"
"Nossa Sra Da Gloria, C E-Ef M"
"Colégio Estadual Cívico Militar José de Alencar"
"Colégio Estadual Cívico-Militar Gregório Szeremeta"
"Colégio Estadual Prof. Custódio Netto"
"Colégio Estadual Dr. Marcelino Nogueira"
"Colégio Estadual Profª. Maria Aparecida Militão de S. Pereira"
"Colégio Estadual Cívico-Militar São Pedro"
"Colégio Estadual Cívico Militar Presidente Vargas"
"Colégio Estadual Jardim Alegre"
"Colégio Estadual Jardim Zeballos"
"Colégio Estadual Frentino Sackser"
"Colegio Estadual Marechal Rondon"
"Colégio Estadual Barão do Rio Branco"
"Colégio Estadual Cívico-Militar Antonio José Reis"
"Colégio Estadual Cívico Militar Jardim Maracanã"
"Novo Horizonte, C E-Ef M"
"Escola Estadual Graciliano Ramos"
"Joao Arnaldo Ritt, C E-Ef M"
"Luiz Augusto M Rego, C E-Ef M Profis"
"Colégio Estadual Cívico-Militar Cruzeiro do Oeste"
"Douradina, C E-Ef M"
"Colégio Cívico militar Padre Manuel Da Nóbrega"
"Colégio Estadual Monteiro Lobato - EF M"
"Zilda Arns, C E Dra- Ef M"
"Colégio Estadual Anchieta"
"Castelo Branco, C E Pres-Ef M"
"Colégio Estadual Cívico-Militar Novo Milênio"
"Colégio Estadual Bernardina Schleder"
"Colégio Estadual João Paulo II"
"Colégio Estadual Anita Canet"
"Colégio Estadual Olavo Bilac"
"Colégio Estadual Cívico-Militar Newton Sampaio EFM"
"Colégio Estadual Miguel Nassif Maluf"
"Escola Estadual Erico Verissimo - Ensino Fundamental"
"Vila John Kennedy, C E Da-Ef M"
"Colégio Estadual Osório Duque Estrada"
"Colégio Estadua Alto Recreio"
"Colégio Estadual Cívico Militar Júlio Farah"
"Colégio Estadual Cívico-Militar Professor Segismundo Antunes Netto 1º e 2º Grau"
