NOME_PLANILHA_CIVICO_MILITAR;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SG_UF;SCORE_SIMILARIDADE;STATUS_CRUZAMENTO
Colégio Estadual Cívico-Militar Guimarães Rosa;41063686;GUIMARAES ROSA C E CMEF M;Assis Chateaubriand;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Senador Teotonio Vilela;41064020;TEOTONIO VILELA C E CM SENEF M;Assis Chateaubriand;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Professor Darcy José Costa;41015576;DARCY JOSE COSTA C E CM PROFEF M P;Campo Mourão;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Dr Osvaldo Cruz-Ensino de 1º e 2º Graus;41015827;OSVALDO CRUZ C E CM DREF M;Campo Mourão;Estadual;PR;0.667;Cruzado com Sucesso
Colégio Estadual Marechal Rondon - Ensino Fundamental, Médio e Cursos Técnicos;41065662;RONDON C E CM MALEF M;Marechal Cândido Rondon;Estadual;PR;0.508;Cruzado com Sucesso
Unidade Polo, C E-Ef M;41015975;UNIDADE POLO C E CMEF M PROFIS;Campo Mourão;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico Militar Rui Barbosa E E E Fund;41093607;RUI BARBOSA C E CMEF M;Pato Branco;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Olavo Bilac;41014375;OLAVO BILAC C E CMEF M;Ubiratã;Estadual;PR;1.233;Cruzado com Sucesso
Cataratas, C E-Ef M;41071123;CATARATAS C E CMEF M;Cascavel;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Brasmadeira;41071298;BRASMADEIRA C E CMEF M PROFIS;Cascavel;Estadual;PR;1.117;Cruzado com Sucesso
Colégio Estadual Julia Wanderley;41071654;JULIA WANDERLEY C E CM PROFEF M;Cascavel;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Olivo Fracaro - Ensino Fundamental e Medio;41071956;OLIVO FRACARO C E CME F M;Cascavel;Estadual;PR;0.527;Cruzado com Sucesso
Santos Dumont, C E-Ef M;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Doutor João Ferreira Neves;41072391;JOAO F NEVES C E CM DREF M;Catanduvas;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Lindoeste-EFM;41074360;LINDOESTE C E CMEF M PROFIS;Lindoeste;Estadual;PR;1.117;Cruzado com Sucesso
Santa Tereza Do Oeste, C E-Ef M;41075129;SANTA TEREZA DO OESTE C E CMEF M P;Santa Tereza do Oeste;Estadual;PR;1.262;Cruzado com Sucesso
Carlos A Camargo, C E-Ef M;41070585;CARLOS A CAMARGO C E CMEF M PROFIS;Capitão Leônidas Marques;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Marechal Humberto de Alencar Castelo Branco - EFM;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;Estadual;PR;0.815;Cruzado com Sucesso
José Ângelo Baggio Orso, C E-Ef M;41071590;JOSE A B ORSO C E CMEF M PROF;Cascavel;Estadual;PR;0.815;Cruzado com Sucesso
Colégio Estadual Bairro 14 de Novembro;41071018;XIV DE NOVEMBRO C E CMEF M;Cascavel;Estadual;PR;0.637;Cruzado com Sucesso
Colégio Estadual Amâncio Moro;41072626;AMANCIO MORO C E CM EF M N PROFIS;Corbélia;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual D.Bosco;41009126;BOSCO C E CM DEF M;Cianorte;Estadual;PR;1.175;Cruzado com Sucesso
Primo Manfrinato, C E-Ef M;41009363;PRIMO MANFRINATO C E CMEF M PROFIS;Cianorte;Estadual;PR;1.175;Cruzado com Sucesso
Castro Alves, C E-Em;41093313;CASTRO ALVES C E CMEF M;Pato Branco;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Professor Leo Kohler;41018800;LEO KOHLER E E CM PROFEF;Terra Boa;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Cívico Militar Prof. Mailon Medeiros;41043286;MAILON MEDEIROS C E CM PROFEF M;Bandeirantes;Estadual;PR;0.958;Cruzado com Sucesso
Andre Seugling, C E-Ef M Profis;41043936;ANDRE SEUGLING C E CMEF M;Cornélio Procópio;Estadual;PR;1.233;Cruzado com Sucesso
CEEFM Monteiro Lobato;41022416;MONTEIRO LOBATO C E CMEF M;Sertanópolis;Estadual;PR;0.958;Cruzado com Sucesso
Adelia A Lopes, E E Profa-Ef;41041003;ADELIA A LOPES C E CM PROFAEF M;Jataizinho;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar João XXIII;41041712;JOAO XXIII C E CMEF M;São Jerônimo da Serra;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual João Turin;41042085;JOAO TURIN C E CMEF M;São Sebastião da Amoreira;Estadual;PR;1.233;Cruzado com Sucesso
Paulo Mozart Machado, C E Prof-Ef M;41042336;PAULO MOZART MACHADO C E CM PROFEF M;Uraí;Estadual;PR;1.262;Cruzado com Sucesso
Nobrega Da Cunha, C E-Ef M;41043375;NOBREGA DA CUNHA C E CMEF M;Bandeirantes;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Cívico Militar Professor Antônio Bitonti;41046218;ANTONIO BITONTI E E CM PROFEF;Sertaneja;Estadual;PR;1.233;Cruzado com Sucesso
Arlindo Carvalho De Amorim, C E-Ef M;41127340;ARLINDO C DE AMORIM C E CMEF M PROFIS;Curitiba;Estadual;PR;0.923;Cruzado com Sucesso
Beatriz Faria Ansay, C E-Ef M;41127609;BEATRIZ FARIA ANSAY C E CMEFMP;Curitiba;Estadual;PR;1.062;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Marechal Cândido Rondon;41127897;CANDIDO RONDON C E CM MALEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Ermelino de Leão;41129164;ERMELINO DE LEAO C E CMEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Etelvina C Ribas, C E Profa-Ef M;41129253;ETELVINA C RIBAS C E CM PROFAEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Getúlio Vargas;41129580;GETULIO VARGAS C E CMEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Escola Estadual Gottlieb Müeller;41129628;GOTTLIEB MUELLER C E CMEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico-militar João Turin;41042085;JOAO TURIN C E CMEF M;São Sebastião da Amoreira;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Luiz Carlos Paula e Souza;41130669;LUIZ CARLOS P E SOUZA C E CM PROFEF M;Curitiba;Estadual;PR;1.048;Cruzado com Sucesso
Colégio Cívico Militar Manoel A Guimaraes, C E Sen-Ef M;41130782;MANOEL A GUIMARAES C E CM SEN EF M P;Curitiba;Estadual;PR;1.017;Cruzado com Sucesso
Colégio Estadual Professor Olavo Del Claro;41131886;OLAVO DEL CLARO C E CM PROFEF M P;Curitiba;Estadual;PR;1.262;Cruzado com Sucesso
Colegio Estadual Cívico Militar Republica Oriental Do Uruguai;41132882;REPUBLICA ORIENTAL URUGUAI C E CMEF M;Curitiba;Estadual;PR;1.262;Cruzado com Sucesso
Sebastiao Saporski, C E-Ef M;41133404;SEBASTIAO SAPORSKI C E CMEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Segismundo Falarz, C E C-M-Ef M;41133412;SEGISMUNDO FALARZ C E CMEF M;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Cívico Militar Senhorinha de Moraes Sarmento;41133471;SENHORINHA M SARMENTO C E CMEF M P;Curitiba;Estadual;PR;0.815;Cruzado com Sucesso
Yvone Pimentel, C E-Ef M;41134435;YVONE PIMENTEL C E CMEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Cruzeiro do Sul;41128664;CRUZEIRO DO SUL C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Guido Arzua, C E Prof-Ef M;41531876;GUIDO ARZUA C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Jayme Canet;41130065;JAYME CANET C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Joao Loyola, C E Prof-Ef M;41130146;JOAO LOYOLA C E CM PROFEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Joao Paulo I, C E Papa-Ef M;41057694;JOAO PAULO II C E CMEF M;Arapoti;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Padre João Wislinski;41130200;JOAO WISLINSKI C E CM PEEF M N P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Julio Mesquita, C E Prof-Ef M Profis;41130359;JULIO MESQUITA C E CM PROFEF M PROFIS;Curitiba;Estadual;PR;1.175;Cruzado com Sucesso
Lamenha Lins, C E Pres-Em Profis;41130421;LAMENHA LINS C E CM PRESEF M P;Curitiba;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Prof° Luiza Ross;41130685;LUIZA ROSS C E CM PROFAEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Milton Carneiro;41131223;MILTON CARNEIRO C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Pinheiro do Paraná;41132475;PINHEIRO DO PARANA C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Santa Felicidade;41133137;SANTA FELICIDADE C E CMEF M P;Curitiba;Estadual;PR;1.233;Cruzado com Sucesso
Santo Antônio;41104897;SANTO ANTONIO C E CMEF M;Pinhão;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Vinícius de Moraes;41024869;VINICIUS DE MORAES C E CMEF M;Maringá;Estadual;PR;1.233;Cruzado com Sucesso
Jorge De Lima, E E-Ef;41089006;JORGE DE LIMA E E CMEF;Salto do Lontra;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Leonardo da Vinci - Ensino Fundamental, Médio e Profissional;41084772;LEONARDO DA VINCI C E CMEF M N PROFIS;Dois Vizinhos;Estadual;PR;0.654;Cruzado com Sucesso
Carmelita S Dias, C E Profa-Ef M;41076125;CARMELITA S DIAS C E CM PROFAEF M P;Foz do Iguaçu;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Presidente Castelo Branco;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Pres. Costa e Silva;41076265;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Tancredo de Almeida Neves;41102959;TANCREDO DE ALMEIDA NEVES C E EF M;Laranjeiras do Sul;Estadual;PR;1.15;Cruzado com Sucesso
Colégio Estadual Tarquínio Santos;41076877;TARQUINIO SANTOS C E CMEF M PROFIS;Foz do Iguaçu;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico Militar Ipê Roxo;41378571;IPE ROXO C E CMEF M PROFIS;Foz do Iguaçu;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Sol de Maio;41378598;SOL DE MAIO C E CMEF M PROFIS;Foz do Iguaçu;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Tancredo Neves;41076869;TANCREDO DE A NEVES C E CMEF M N P;Foz do Iguaçu;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Cívico-Militar Naira Fellini;41144333;NAIRA FELLINI C E CMEF M PROFIS;Medianeira;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico Militar Angelo Antonio Benedet;41372395;ANGELO ANTONIO BENEDET C E CMEF M P;Santa Terezinha de Itaipu;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Nestor Victor dos Santos;41079116;NESTOR V DOS SANTOS C E CMEF M PROFIS;São Miguel do Iguaçu;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Carlos Drummond de Andrade;41063619;CARLOS DRUMMOND DE ANDRADE E E EF;Assis Chateaubriand;Estadual;PR;1.15;Cruzado com Sucesso
Colegio Estadual Do Campo Presidente Kennedy;41077776;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;Estadual;PR;0.792;Cruzado com Sucesso
Colégio Estadual Santa Rita;41148550;SANTA RITA E E CMEF;Foz do Iguaçu;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Marechal Artur da Costa e Silva;41076265;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Candido Portinari;41079590;CANDIDO PORTINARI C E CMEF M;Ampére;Estadual;PR;1.233;Cruzado com Sucesso
Vicente De Carli, C E Prof-Ef M;41086600;VICENTE DE CARLI C E CM PROFEF M;Francisco Beltrão;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Beatriz Biavatti;41144058;BEATRIZ BIAVATTI C E CMEF M;Francisco Beltrão;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Dom Carlos Eduardo;41082249;CARLOS EDUARDO C E CM DEF M;Realeza;Estadual;PR;1.233;Cruzado com Sucesso
Manoel Ribas, E E Interventor-Ef;41089545;MANOEL RIBAS C E CM INTERVENTOREF M;Santo Antônio do Sudoeste;Estadual;PR;0.958;Cruzado com Sucesso
Colégio João Zacco;41081340;JOAO ZACCO PARANA C E CMEF M;Planalto;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Cívico-Militar Vila Guaira, C E-Ef M;41012747;VILA GUAIRA C E CMEF M;Goioerê;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico Militar Olavo Bilac;41014375;OLAVO BILAC C E CMEF M;Ubiratã;Estadual;PR;1.233;Cruzado com Sucesso
Escola Ribeiro de Campos, E E C-M-Ef;41012631;RIBEIRO DE CAMPOS E E CMEF;Goioerê;Estadual;PR;0.958;Cruzado com Sucesso
COLÉGIO ESTADUAL VEREADOR HEITOR ROCHA KRAMER - EFM.;41100484;HEITOR ROCHA KRAMER C E CM VEREF M;Guarapuava;Estadual;PR;1.048;Cruzado com Sucesso
Mahatma Gandhi, C E-Ef M;41100778;MAHATMA GANDHI C E CMEF M PROFIS;Guarapuava;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Manoel Ribas;41089545;MANOEL RIBAS C E CM INTERVENTOREF M;Santo Antônio do Sudoeste;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Santo Antônio;41104897;SANTO ANTONIO C E CMEF M;Pinhão;Estadual;PR;1.233;Cruzado com Sucesso
COLÉGIO ESTADUAL ENGENHEIRO MICHEL GASTON PROSPER AUGUSTA REYDAMS;41104447;MICHEL G P A REYDAMS C E CM ENGEF M;Reserva do Iguaçu;Estadual;PR;0.667;Cruzado com Sucesso
Colégio Estadual Edite Cordeiro Marques;41106628;EDITE C MARQUES C E CMEF M;Turvo;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Professora Leni Marlene Jacob;41100689;LENI MARLENE JACOB C E CM PROFAEF M P;Guarapuava;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Parigot de Souza;41023382;PEDRO V PARIGOT SOUZA C E CMEF M P;Marialva;Estadual;PR;1.175;Cruzado com Sucesso
Caxias, C E Dq-Ef M Profis;41023811;CAXIAS C E CM DQ DEEF M PROFIS;Maringá;Estadual;PR;1.175;Cruzado com Sucesso
Joao De M Pessoa, C E-Ef M;41113250;JOAO DE M PESSOA C E CMEF M;Irati;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Nicolau Copérnico - EF M;41114027;NICOLAU COPERNICO C E CMEF M;Mallet;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Barão de Capanema - Ensino Fundamental e Médio;41156269;COLEGIO SESI CAPANEMA ENSINO MEDIO;Capanema;Privada;PR;0.663;Cruzado com Sucesso
Colégio Estadual Cívico Militar Profª Maria Ignácia;41114469;MARIA IGNACIA C E CM PROFAEF M;Rebouças;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Dr Afonso Alves de Camargo;41001060;AFONSO CAMARGO C E CM PRESEF M;Loanda;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Anita Garibaldi;41038100;ANITA GARIBALDI C E CMEF M PROFIS;Jardim Alegre;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Nereu Ramos;41039068;NEREU RAMOS E E CMEF;Manoel Ribas;Estadual;PR;1.233;Cruzado com Sucesso
Vicente Machado, C E C-Ef M;41040694;VICENTE MACHADO C E CMEF M;São Pedro do Ivaí;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Antônio Diniz Pereira;41037324;ANTONIO DINIZ PEREIRA C E CMEF M;Ivaiporã;Estadual;PR;1.262;Cruzado com Sucesso
Jose De Mattos Leao, C E-Ef M;41040317;JOSE DE MATTOS LEAO C E CMEF M;São João do Ivaí;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Dr. Generoso Marques;41046617;GENEROSO MARQUES C E CM DREF M;Cambará;Estadual;PR;1.233;Cruzado com Sucesso
Hercília de Paula e Silva, CECM Profª - EFM e Profissional;41050886;HERCILIA P E SILVA C E CM PROFAEF M;Carlópolis;Estadual;PR;0.727;Cruzado com Sucesso
Colégio Estadual Cívico-Militar José Pavan - EFM;41047192;JOSE PAVAN C E CMEF M;Jacarezinho;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Doutor João da Rocha Chueiri;41047800;JOAO DA R CHUEIRI C E CM DREF M P;Ribeirão Claro;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico Militar Ruth Martinez Correa;41045610;RUTH M CORREA C E CMEF M PROF;Ribeirão do Pinhal;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Edith de Souza Prado de Oliveira;41048326;EDITH S PRADO DE OLIVEIRA C E CMEF M;Santo Antônio da Platina;Estadual;PR;1.048;Cruzado com Sucesso
Colégio Cívico-militar Moralina Eleutério;41048563;MORALINA ELEUTERIO C E CM DONAEF M;Santo Antônio da Platina;Estadual;PR;0.958;Cruzado com Sucesso
Escola Estadual Stella Maris;41042778;STELLA MARIS C E CMEF M;Andirá;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Dona Carolina Lupion;41046552;CAROLINA LUPION C E CM DONAEF M;Cambará;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Anésio de Almeida Leite;41046960;ANESIO DE A LEITE C E CMEF M PROFIS;Jacarezinho;Estadual;PR;0.923;Cruzado com Sucesso
Antonio Raminelli, C E C M -E F M P;41028430;ANTONIO RAMINELLI C E CMEF M PROFIS;Cambé;Estadual;PR;1.175;Cruzado com Sucesso
