NOME_LISTA_OFICIAL;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SCORE
Carlos A Camargo, C E-Ef M;41070585;CARLOS A CAMARGO C E CMEF M PROFIS;Capitão Leônidas Marques;Estadual;1.267
Colégio Estadual Marechal Humberto de Alencar Castelo Branco - EFM;41071409;HUMBERTO A C BRANCO C E CM MALEF M P;Cascavel;Estadual;0.754
José Ângelo Baggio Orso, C E-Ef M;41071590;JOSE A B ORSO C E CMEF M PROF;Cascavel;Estadual;0.86
Colégio Estadual Bairro 14 de Novembro;41071018;XIV DE NOVEMBRO C E CMEF M;Cascavel;Estadual;0.8
Colégio Estadual Amâncio Moro;41072626;AMANCIO MORO C E CM EF M N PROFIS;Corbélia;Estadual;1.267
Colégio Estadual D.Bosco;41009126;BOSCO C E CM DEF M;Cianorte;Estadual;1.133
Primo Manfrinato, C E-Ef M;41009363;PRIMO MANFRINATO C E CMEF M PROFIS;Cianorte;Estadual;1.267
Castro Alves, C E-Em;41093313;CASTRO ALVES C E CMEF M;Pato Branco;Estadual;1.0
Escola Estadual Professor Leo Kohler;41018800;LEO KOHLER E E CM PROFEF;Terra Boa;Estadual;1.2
Colégio Cívico Militar Prof. Mailon Medeiros;41043286;MAILON MEDEIROS C E CM PROFEF M;Bandeirantes;Estadual;1.2
Andre Seugling, C E-Ef M Profis;41043936;ANDRE SEUGLING C E CMEF M;Cornélio Procópio;Estadual;1.267
CEEFM Monteiro Lobato;41044363;MONTEIRO LOBATO C E CMEF M;Cornélio Procópio;Estadual;1.0
Adelia A Lopes, E E Profa-Ef;41041003;ADELIA A LOPES C E CM PROFAEF M;Jataizinho;Estadual;1.2
Colégio Estadual Cívico-Militar João XXIII;41125193;JOAO XXIII C E CMEF M;Campo Largo;Estadual;1.267
Colégio Estadual João Turin;41130197;JOAO TURIN C E CMEF M PROFIS;Curitiba;Estadual;1.267
Paulo Mozart Machado, C E Prof-Ef M;41042336;PAULO MOZART MACHADO C E CM PROFEF M;Uraí;Estadual;1.24
Nobrega Da Cunha, C E-Ef M;41043375;NOBREGA DA CUNHA C E CMEF M;Bandeirantes;Estadual;1.267
Escola Estadual Cívico Militar Professor Antônio Bitonti;41046218;ANTONIO BITONTI E E CM PROFEF;Sertaneja;Estadual;1.2
Arlindo Carvalho De Amorim, C E-Ef M;41127340;ARLINDO C DE AMORIM C E CMEF M PROFIS;Curitiba;Estadual;1.0
Beatriz Faria Ansay, C E-Ef M;41127609;BEATRIZ FARIA ANSAY C E CMEFMP;Curitiba;Estadual;1.05
Colégio Estadual Cívico-Militar Marechal Cândido Rondon;41127897;CANDIDO RONDON C E CM MALEF M PROFIS;Curitiba;Estadual;1.2
Colégio Estadual Cívico-Militar Ermelino de Leão;41129164;ERMELINO DE LEAO C E CMEF M PROFIS;Curitiba;Estadual;1.267
Etelvina C Ribas, C E Profa-Ef M;41129253;ETELVINA C RIBAS C E CM PROFAEF M P;Curitiba;Estadual;1.2
Colégio Estadual Cívico-Militar Getúlio Vargas;41129580;GETULIO VARGAS C E CMEF M PROFIS;Curitiba;Estadual;1.267
Escola Estadual Gottlieb Müeller;41129628;GOTTLIEB MUELLER C E CMEF M PROFIS;Curitiba;Estadual;1.267
Colégio Estadual Cívico-militar João Turin;41130197;JOAO TURIN C E CMEF M PROFIS;Curitiba;Estadual;1.267
Colégio Estadual Luiz Carlos Paula e Souza;41130669;LUIZ CARLOS P E SOUZA C E CM PROFEF M;Curitiba;Estadual;1.05
Colégio Cívico Militar Manoel A Guimaraes, C E Sen-Ef M;41130782;MANOEL A GUIMARAES C E CM SEN EF M P;Curitiba;Estadual;1.267
Colégio Estadual Professor Olavo Del Claro;41131886;OLAVO DEL CLARO C E CM PROFEF M P;Curitiba;Estadual;1.24
Colegio Estadual Cívico Militar Republica Oriental Do Uruguai;41132882;REPUBLICA ORIENTAL URUGUAI C E CMEF M;Curitiba;Estadual;1.3
Sebastiao Saporski, C E-Ef M;41133404;SEBASTIAO SAPORSKI C E CMEF M PROFIS;Curitiba;Estadual;1.267
Segismundo Falarz, C E C-M-Ef M;41133412;SEGISMUNDO FALARZ C E CMEF M;Curitiba;Estadual;1.267
Colégio Cívico Militar Senhorinha de Moraes Sarmento;41133471;SENHORINHA M SARMENTO C E CMEF M P;Curitiba;Estadual;1.0
Yvone Pimentel, C E-Ef M;41134435;YVONE PIMENTEL C E CMEF M PROFIS;Curitiba;Estadual;1.267
Colégio Estadual Cívico-Militar Cruzeiro do Sul;41128664;CRUZEIRO DO SUL C E CMEF M P;Curitiba;Estadual;1.267
Guido Arzua, C E Prof-Ef M;41531876;GUIDO ARZUA C E CMEF M P;Curitiba;Estadual;1.267
Colégio Estadual Cívico Militar Jayme Canet;41130065;JAYME CANET C E CMEF M P;Curitiba;Estadual;1.267
Joao Loyola, C E Prof-Ef M;41130146;JOAO LOYOLA C E CM PROFEF M P;Curitiba;Estadual;1.2
Joao Paulo I, C E Papa-Ef M;41057694;JOAO PAULO II C E CMEF M;Arapoti;Estadual;0.96
Colégio Estadual Cívico-Militar Padre João Wislinski;41130200;JOAO WISLINSKI C E CM PEEF M N P;Curitiba;Estadual;1.2
Julio Mesquita, C E Prof-Ef M Profis;41130359;JULIO MESQUITA C E CM PROFEF M PROFIS;Curitiba;Estadual;1.2
Lamenha Lins, C E Pres-Em Profis;41130421;LAMENHA LINS C E CM PRESEF M P;Curitiba;Estadual;0.96
Colégio Estadual Prof° Luiza Ross;41130685;LUIZA ROSS C E CM PROFAEF M P;Curitiba;Estadual;1.2
Colégio Estadual Milton Carneiro;41131223;MILTON CARNEIRO C E CMEF M P;Curitiba;Estadual;1.267
Colégio Estadual Cívico-Militar Pinheiro do Paraná;41132475;PINHEIRO DO PARANA C E CMEF M P;Curitiba;Estadual;1.267
Colégio Estadual Cívico Militar Santa Felicidade;41133137;SANTA FELICIDADE C E CMEF M P;Curitiba;Estadual;1.267
Santo Antônio;41133200;SANTO ANTONIO C E CMEF M;Curitiba;Estadual;1.267
Colégio Estadual Cívico Militar Vinícius de Moraes;41375602;VINICIUS DE MORAES C E CMEF M;Colombo;Estadual;1.267
Jorge De Lima, E E-Ef;41089006;JORGE DE LIMA E E CMEF;Salto do Lontra;Estadual;1.267
Colégio Estadual Cívico Militar Leonardo da Vinci - Ensino Fundamental, Médio e Profissional;41084772;LEONARDO DA VINCI C E CMEF M N PROFIS;Dois Vizinhos;Estadual;0.773
Carmelita S Dias, C E Profa-Ef M;41076125;CARMELITA S DIAS C E CM PROFAEF M P;Foz do Iguaçu;Estadual;1.2
Colégio Estadual Presidente Castelo Branco;41107152;CASTELO BRANCO C E CM PRESE F M P;Clevelândia;Estadual;1.2
Colégio Estadual Pres. Costa e Silva;41076265;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;Estadual;1.2
Colégio Estadual Cívico-Militar Tancredo de Almeida Neves;41102959;TANCREDO DE ALMEIDA NEVES C E EF M;Laranjeiras do Sul;Estadual;1.15
Colégio Estadual Tarquínio Santos;41076877;TARQUINIO SANTOS C E CMEF M PROFIS;Foz do Iguaçu;Estadual;1.267
Colégio Estadual Cívico Militar Ipê Roxo;41378571;IPE ROXO C E CMEF M PROFIS;Foz do Iguaçu;Estadual;1.267
Colégio Estadual Sol de Maio;41378598;SOL DE MAIO C E CMEF M PROFIS;Foz do Iguaçu;Estadual;1.267
Colégio Estadual Tancredo Neves;41092538;TANCREDO NEVES C E CMEF M;Coronel Vivida;Estadual;1.267
Colégio Cívico-Militar Naira Fellini;41144333;NAIRA FELLINI C E CMEF M PROFIS;Medianeira;Estadual;1.267
Colégio Estadual Cívico Militar Angelo Antonio Benedet;41372395;ANGELO ANTONIO BENEDET C E CMEF M P;Santa Terezinha de Itaipu;Estadual;1.3
Colégio Estadual Nestor Victor dos Santos;41079116;NESTOR V DOS SANTOS C E CMEF M PROFIS;São Miguel do Iguaçu;Estadual;1.0
Colégio Estadual Carlos Drummond de Andrade;41063619;CARLOS DRUMMOND DE ANDRADE E E EF;Assis Chateaubriand;Estadual;1.15
Colegio Estadual Do Campo Presidente Kennedy;41077776;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;Estadual;0.8
Colégio Estadual Santa Rita;41148550;SANTA RITA E E CMEF;Foz do Iguaçu;Estadual;1.267
Colégio Estadual Marechal Artur da Costa e Silva;41076265;COSTA E SILVA C E CM PRESEF M PROFIS;Foz do Iguaçu;Estadual;0.96
Colégio Estadual Cívico-Militar Candido Portinari;41079590;CANDIDO PORTINARI C E CMEF M;Ampére;Estadual;1.267
Vicente De Carli, C E Prof-Ef M;41086600;VICENTE DE CARLI C E CM PROFEF M;Francisco Beltrão;Estadual;1.2
